# UPPER A - Lunedì
# Focus: Petto (prevalente) · Schiena · Bicipiti · Spalle (laterale)
# Riscaldamento: Rotazioni spalle avanti/indietro 2×15 | Wall slides 2×10 | Facepull elastico 2×12
# Ramp-up ogni esercizio principale: 50%×12 → 70%×8 → 90%×3 → poi serie vere

Esercizio | Serie | Rip | Recupero | Note tecniche
# SPALLE: Cross-body stretch a terra 30"/lato · Inclinazione laterale collo 30"/lato
# SCHIENA: Child's pose 45" · Twisting supino 30"/lato
# BRACCIA: Stretch bicipite supino 30" · Stretch avambraccio 25"/lato
# ADDOME: Cobra passivo prolungato 40" · Stretch laterale sdraiato 30"/lato
# GAMBE: Hip flexor in affondo 40"/lato · Hamstring supino 35"/lato · Piriforme figura 4 35"/lato

---

# LOWER - Mercoledì
# Focus: Gambe · Glutei · Core · Lombare
# Ramp-up ogni esercizio principale: 50%×12 → 70%×8 → 90%×3 → poi serie vere

Esercizio | Serie | Rip | Recupero | Note tecniche
Squat con bilanciere (back squat) | 4 | 8-10 | 120 | Barra sulle trappezi. Scendi fino a parallelismo. Ginocchia in linea con le dita, no valgo. Schiena neutra. Espi in salita. Muscoli: quadricipiti, glutei, ischiocrurali.
Leg press 45° | 3 | 12-15 | 90 | Piedi a metà pedana. Non bloccare le ginocchia. Piedi più alti = più glutei. Muscoli: quadricipiti, glutei, adduttori.
Romanian Deadlift (RDL) con bilanciere | 4 | 10-12 | 90 | Schiena neutra, barra vicina alle gambe. Inclinati fino a sentire lo stretch. Spingi i fianchi in avanti per tornare. Muscoli: ischiocrurali, gluteo grande, erettori.
Affondi con manubri (camminata) | 3 | 10/gamba | 90 | Passo lungo, ginocchio posteriore sfiora terra. Busto eretto. No ginocchio oltre il piede. Muscoli: quadricipite, gluteo, adduttori.
Leg curl sdraiato (macchina) | 3 | 12-15 | 75 | Cuscinetto sopra i talloni. Curla espirando, ritorno 3s. Non sollevare i fianchi. Muscoli: ischiocrurali.
Calf raise in piedi (macchina o scalino) | 4 | 15-20 | 60 | Salita esplosiva, discesa lenta 3s. Estensione completa in cima. Muscoli: gastrocnemio, soleo.
Crunch inverso a terra | 3 | 15-20 | 60 | Gambe a 90°. Porta il bacino verso il petto con gli addominali. Schiena a contatto col suolo. Muscoli: retto addominale basso, obliqui.
Plank isometrico | 3 | 45-60 sec | 60 | Avambracci a terra, corpo in linea. Addome contratto, non alzare i glutei. Muscoli: core, trasverso addominale.
Back extension (macchina o panca lombare) | 3 | 12-15 | 60 | Busto neutro in partenza. Estendi fino alla linea del corpo, NON iperestendere. Contrai i glutei in cima. Movimento lento. Muscoli: erettori spinali, gluteo grande, ischiocrurali.

# Alternative a casa per LOWER
# Squat bilanciere → Squat corpo libero / Squat con zaino zavorrato / Bulgarian split squat
# Leg press → Squat sumo / Wall sit
# RDL → Stacco a una gamba corpo libero / RDL con bottiglie
# Affondi → Affondi statici / Reverse lunge
# Leg curl → Nordic curl / Leg curl con elastico
# Calf raise → Calf raise su scalino / Saltelli
# Crunch inverso → Leg raise sdraiato
# Plank → Plank su ginocchia se troppo difficile
# Back extension → Superman prono / Bird-dog

# Stretching finale (10 min)
# GAMBE: Quadricipite prono 45"/lato · Hamstring supino 45"/lato · Hip flexor affondo profondo 45"/lato
#         Piriforme figura 4 sdraiato 45"/lato · Stretch rana 40" · IT Band sdraiato 30"/lato
# SCHIENA/LOMBARE: Child's pose 45" · Cobra passivo 40" · Twisting supino 30"/lato
# ADDOME: Cobra passivo prolungato 40" · Stretch laterale sdraiato 30"/lato
# PETTO/BRACCIA: Chest opener a terra 30" · Stretch tricipite overhead sdraiato 25"/lato

---

# UPPER B - Venerdì
# Focus: Schiena (prevalente) · Petto · Tricipiti · Spalle (ant./med.)
# Riscaldamento: Facepull elastico 2×15 | Shoulder retraction elastico 2×12 | Cat-cow 4 zampe 2×8
# Ramp-up ogni esercizio principale: 50%×12 → 70%×8 → 90%×3 → poi serie vere

Esercizio | Serie | Rip | Recupero | Note tecniche
Rematore con bilanciere (Bent-over row) | 4 | 8-10 | 90 | Busto 45°, schiena neutra. Tira verso l'ombelico. Gomiti vicini. Contrai le scapole in cima. Muscoli: dorsale, romboidi, trapezio medio, bicipite.
Lat machine presa stretta supina | 4 | 10-12 | 90 | Presa supina alla larghezza spalle. Porta la barra al petto. Gomiti verso i fianchi. Muscoli: gran dorsale (capo interno), bicipite.
Pullover con manubrio su panca | 3 | 12-15 | 75 | Sdraiato di traverso. Braccia tese, abbassa il manubrio verso il suolo. Senti lo stretch dorsale. Muscoli: gran dorsale, pettorale basso, serrante.
Reverse fly con manubri (busto inclinato) | 3 | 12-15 | 60 | Busto inclinato 80° avanti, schiena neutra. Solleva manubri lateralmente fino all'altezza delle spalle. No slancio. Muscoli: deltoide posteriore, romboidi, trapezio.
Face pull ai cavi (corda) | 3 | 15 | 60 | Cavo all'altezza degli occhi. Tira verso il viso aprendo i gomiti verso l'esterno. Muscoli: deltoide posteriore, rotatori, trapezio medio.
Lento avanti con manubri (Shoulder Press) | 4 | 8-10 | 90 | Seduto, schiena neutra. Spingi i manubri sopra la testa. Scapole depresse durante la spinta. Espi in su. Muscoli: deltoide anteriore e mediale, trapezio.
Panca piana con manubri | 3 | 10-12 | 90 | Range maggiore rispetto al bilanciere. Porta i manubri a toccarsi in cima, allungamento completo in basso. Muscoli: pettorale, deltoide ant.
Croci su panca inclinata con manubri | 3 | 12-15 | 75 | 30° di inclinazione. Arco ampio, gomito con angolo fisso. Focus sull'allungamento. Muscoli: pettorale superiore.
Push-down ai cavi (corda) | 3 | 12-15 | 75 | Presa a corda, spingi aprendo le mani in basso. Gomiti fissi. Controlla il ritorno. Muscoli: tricipite (tutti e 3 i capi).
French press con manubri su panca | 3 | 10-12 | 75 | Sdraiato, abbassa i manubri verso le tempie con gomiti fermi. Estendi espirando. Muscoli: tricipite (capo lungo).
Crunch con rotazione (obliqui) | 3 | 15/lato | 60 | Mano dietro la testa. Porta il gomito verso il ginocchio opposto. Controlla la discesa. Muscoli: retto addominale, obliqui.

# Alternative a casa per UPPER B
# Rematore bilanciere → Row con zaino / Elastico
# Lat machine supina → Trazioni supine / Inverted row
# Pullover → Pullover con bottiglia / elastico
# Reverse fly → Reverse fly con elastico / bottiglie
# Face pull → Face pull con elastico
# Shoulder press → Pike push-up / Shoulder press con bottiglie
# Panca manubri → Push-up
# Croci inclinate → Croci con elastico
# Push-down → Dips su sedia / tricipiti con elastico
# French press → French press con bottiglia

# Stretching finale (8-10 min)
# SCHIENA: Child's pose 60" · Cat-cow da sdraiato 10 oscillazioni · Twisting supino 40"/lato · Cobra passivo 35"
# SPALLE: Cross-body stretch a terra 30"/lato · Stretch trapezio da seduto 30"/lato
# BRACCIA/TRICIPITI: Stretch tricipite overhead sdraiato 30"/lato · Stretch avambraccio estensori 25"/lato
# PETTO: Chest opener a terra 45" · Cobra passivo prolungato 40"
# ADDOME: Stretch laterale sdraiato 30"/lato
# GAMBE: Hip flexor in affondo 40"/lato · Hamstring supino 35"/lato · Piriforme figura 4 35"/lato

---

# NOTE GENERALI
# Split settimanale: Upper A (Lun) · Lower (Mer) · Upper B (Ven)
# Muscoli stimolati 2x/settimana: Petto, Schiena, Spalle, Braccia
# Gambe: 1x/settimana
# Progressione: prima aumenta le rip fino al limite alto del range, poi aumenta il peso
# Cambia scheda ogni 6-8 settimane
# Cervicale/spalle: mobilità obbligatoria pre-Upper A e B. Mai forzare il range se c'è tensione.
# Se cervicale in fase acuta: salta shoulder press, riduci alzate laterali a 1 serie leggera
